,open,high,low,close,vol
20150915,83200,84900,82500,83000,
20150914,86200,87100,82200,83700,
20150911,88300,88400,87000,87400,
20150910,88100,89300,86500,89300,
20150909,84600,89300,83500,89300,
20150908,86000,87200,81000,82100,
20150907,87600,88800,85100,85900,
20150904,92000,92000,86400,87600,
20150903,92100,93200,89400,89900,
20150902,88000,92300,86500,91600,
20150901,91300,92300,89300,89300,
20150831,94100,94100,92100,92300,
20150828,94000,94500,93100,94100,
20150827,92500,94500,91200,92200,
20150826,90400,92400,88600,90800,
20150825,85800,90400,83200,90400,
20150824,87200,88200,83000,84700,
20150821,82100,89300,82100,87100,
20150820,88100,89700,84500,86000,
20150819,93400,94600,85300,89800,
20150818,100000,101000,95200,95900,
20150817,100000,102000,99500,100000,
20150813,100000,101500,98400,99900,
20150812,101000,103500,97600,100500,
20150811,105000,106500,101000,101500,
20150810,101000,103500,99400,103500,
20150807,99500,102000,98400,100000,
20150806,102000,103500,99200,99500,
20150805,93200,99900,88800,99600,
20150804,98000,98700,95700,96300,
20150803,98400,99400,96300,97800,
20150731,94700,97800,93500,97500,
20150730,95300,99400,93000,94400,
20150729,90600,96300,89600,95000,
20150728,90200,92700,88100,90000,
20150727,90000,91000,86800,87500,
20150724,89500,94900,88600,90000,
20150723,88600,89800,88000,88000,
20150722,85500,89600,85200,89200,
20150721,87800,88100,85000,86300,
20150720,83800,87000,83700,86700,
20150717,82000,83500,82000,83200,
20150716,80600,81900,80500,81300,
20150715,80300,82000,79800,80500,
20150714,80800,82200,80500,80500,
20150713,79200,80900,78500,80300,
20150710,79400,79500,78000,78800,
20150709,75700,78000,73900,77900,
20150708,81500,81800,77400,77400,
20150707,82300,83200,79000,80400,
20150706,82400,83900,81200,81300,
20150703,81500,83200,79800,82800,
20150702,83900,83900,81300,81700,
20150701,80500,83300,80000,82500,
20150630,79700,80400,78100,79500,
